symbol,name,market,industry
2451.TW,創見,TW,半導體業
2453.TW,凌群,TW,資訊服務業
2454.TW,聯發科,TW,半導體業
2455.TW,全新,TW,通信網路業
2457.TW,飛宏,TW,電子零組件業
2458.TW,義隆,TW,半導體業
2459.TW,敦吉,TW,其他電子業
2460.TW,建通,TW,電子零組件業
2461.TW,光群雷,TW,其他電子業
2462.TW,良得電,TW,電子零組件業
2464.TW,盟立,TW,其他電子業
2465.TW,麗臺,TW,電腦及週邊設備業
2466.TW,冠西電,TW,光電業
2467.TW,志聖,TW,電子零組件業
2468.TW,華經,TW,資訊服務業
2471.TW,資通,TW,資訊服務業
2472.TW,立隆電,TW,電子零組件業
2474.TW,可成,TW,其他電子業
2476.TW,鉅祥,TW,電子零組件業
2477.TW,美隆電,TW,其他電子業
2478.TW,大毅,TW,電子零組件業
2480.TW,敦陽科,TW,資訊服務業
2481.TW,強茂,TW,半導體業
2482.TW,連宇,TW,其他電子業
2483.TW,百容,TW,電子零組件業
2484.TW,希華,TW,電子零組件業
2485.TW,兆赫,TW,通信網路業
2486.TW,一詮,TW,光電業
2488.TW,漢平,TW,其他電子業
2489.TW,瑞軒,TW,光電業
2491.TW,吉祥全,TW,光電業
2492.TW,華新科,TW,電子零組件業
2493.TW,揚博,TW,電子零組件業
2495.TW,普安,TW,電腦及週邊設備業
2496.TW,卓越,TW,其他
2497.TW,怡利電,TW,汽車工業
2498.TW,宏達電,TW,通信網路業
2514.TW,龍邦,TW,其他
2601.TW,益航,TW,航運業
2603.TW,長榮,TW,航運業
2605.TW,新興,TW,航運業
2606.TW,裕民,TW,航運業
2607.TW,榮運,TW,航運業
2608.TW,嘉里大榮,TW,航運業
2609.TW,陽明,TW,航運業
2610.TW,華航,TW,航運業
2611.TW,志信,TW,航運業
2612.TW,中航,TW,航運業
2613.TW,中櫃,TW,航運業
2614.TW,東森,TW,其他
2615.TW,萬海,TW,航運業
2616.TW,山隆,TW,油電燃氣業
2617.TW,台航,TW,航運業
2618.TW,長榮航,TW,航運業
2630.TW,亞航,TW,航運業
2633.TW,台灣高鐵,TW,航運業
2634.TW,漢翔,TW,航運業
2636.TW,台驊控股,TW,航運業
2637.TW,慧洋-KY,TW,航運業
2642.TW,宅配通,TW,航運業
2645.TW,長榮航太,TW,航運業
2646.TW,星宇航空,TW,航運業
2701.TW,萬企,TW,觀光餐旅
2702.TW,華園,TW,觀光餐旅
2704.TW,國賓,TW,觀光餐旅
2705.TW,六福,TW,觀光餐旅
2706.TW,第一店,TW,觀光餐旅
2707.TW,晶華,TW,觀光餐旅
2712.TW,遠雄來,TW,觀光餐旅
2722.TW,夏都,TW,觀光餐旅
2723.TW,美食-KY,TW,觀光餐旅
2727.TW,王品,TW,觀光餐旅
2731.TW,雄獅,TW,觀光餐旅
2739.TW,寒舍,TW,觀光餐旅
2748.TW,雲品,TW,觀光餐旅
2753.TW,八方雲集,TW,觀光餐旅
2904.TW,匯僑,TW,其他
3002.TW,歐格,TW,電腦及週邊設備業
3003.TW,健和興,TW,電子零組件業
3004.TW,豐達科,TW,鋼鐵工業
3005.TW,神基,TW,電腦及週邊設備業
3006.TW,晶豪科,TW,半導體業
3008.TW,大立光,TW,光電業
3010.TW,華立,TW,電子通路業
3011.TW,今皓,TW,電子零組件業
3013.TW,晟銘電,TW,電腦及週邊設備業
3014.TW,聯陽,TW,半導體業
3015.TW,全漢,TW,電子零組件業
3016.TW,嘉晶,TW,半導體業
3017.TW,奇鋐,TW,電腦及週邊設備業
3018.TW,隆銘綠能,TW,其他電子業
3019.TW,亞光,TW,光電業
3021.TW,鴻名,TW,電子零組件業
3022.TW,威強電,TW,電腦及週邊設備業
3023.TW,信邦,TW,電子零組件業
3024.TW,憶聲,TW,光電業
3025.TW,星通,TW,通信網路業
3026.TW,禾伸堂,TW,電子零組件業
3027.TW,盛達,TW,通信網路業
3028.TW,增你強,TW,電子通路業
3029.TW,零壹,TW,資訊服務業
3030.TW,德律,TW,其他電子業
3031.TW,佰鴻,TW,光電業
3032.TW,偉訓,TW,電子零組件業
3033.TW,威健,TW,電子通路業
3034.TW,聯詠,TW,半導體業
3035.TW,智原,TW,半導體業
3036.TW,文曄,TW,電子通路業
3037.TW,欣興,TW,電子零組件業
3038.TW,全台,TW,光電業
3040.TW,遠見,TW,其他
3041.TW,揚智,TW,半導體業
3042.TW,晶技,TW,電子零組件業
3043.TW,科風,TW,其他電子業
3044.TW,健鼎,TW,電子零組件業
3045.TW,台灣大,TW,通信網路業
3046.TW,建碁,TW,電腦及週邊設備業
3047.TW,訊舟,TW,通信網路業
3048.TW,益登,TW,電子通路業
3049.TW,精金,TW,光電業
3050.TW,鈺德,TW,光電業
3051.TW,力特,TW,光電業
3054.TW,立萬利,TW,電子通路業
3055.TW,蔚華科,TW,電子通路業
3057.TW,喬鼎,TW,電腦及週邊設備業
3058.TW,立德,TW,電子零組件業
3059.TW,華晶科,TW,光電業
3060.TW,銘異,TW,電腦及週邊設備業
3062.TW,建漢,TW,通信網路業
3090.TW,日電貿,TW,電子零組件業
3092.TW,鴻碩,TW,電子零組件業
3094.TW,聯傑,TW,半導體業
3130.TW,一零四,TW,數位雲端
3135.TW,凌航,TW,半導體業
3138.TW,耀登,TW,通信網路業
3149.TW,正達,TW,光電業
3150.TW,鈺寶-創,TW,半導體業
3167.TW,大量,TW,電機機械
3168.TW,眾福科,TW,光電業
3189.TW,景碩,TW,半導體業
3209.TW,全科,TW,電子通路業
3229.TW,晟鈦,TW,電子零組件業
3231.TW,緯創,TW,電腦及週邊設備業
3257.TW,虹冠電,TW,半導體業
3296.TW,勝德,TW,電子零組件業
3305.TW,昇貿,TW,其他電子業
3308.TW,聯德,TW,電子零組件業
3311.TW,閎暉,TW,通信網路業
3312.TW,弘憶股,TW,電子通路業
3321.TW,同泰,TW,電子零組件業
3338.TW,泰碩,TW,電子零組件業
3346.TW,麗清,TW,汽車工業
3356.TW,奇偶,TW,光電業
3376.TW,新日興,TW,電子零組件業
3380.TW,明泰,TW,通信網路業
3406.TW,玉晶光,TW,光電業
3413.TW,京鼎,TW,半導體業
3416.TW,融程電,TW,電腦及週邊設備業
3419.TW,譁裕,TW,通信網路業
3432.TW,台端,TW,電子零組件業
3437.TW,榮創,TW,光電業
3443.TW,創意,TW,半導體業
3447.TW,展達,TW,通信網路業
3450.TW,聯鈞,TW,半導體業
3481.TW,群創,TW,光電業
3494.TW,誠研,TW,電腦及週邊設備業
3501.TW,維熹,TW,電子零組件業
3504.TW,揚明光,TW,光電業
3515.TW,華擎,TW,電腦及週邊設備業
3518.TW,柏騰,TW,其他電子業
3528.TW,安馳,TW,電子通路業
3530.TW,晶相光,TW,半導體業
3532.TW,台勝科,TW,半導體業
3533.TW,嘉澤,TW,電子零組件業
3535.TW,晶彩科,TW,光電業
